"","biogeographical_zone","LC","VU","EN","CR","Total","RLIE"
"1","Total",9,5,7,1,22,0.6
"2","dTropical",1,0,0,0,1,0.8
"3","cSubTrop",2,0,3,1,6,0.5
"4","bWTemp",5,2,0,0,7,0.742857142857143
"5","aCTemp",1,3,4,0,8,0.525
