"","Biogeographical_Region","CR","VU","EN","LC","Total","RLIE"
"1","Total",2,2,6,12,22,0.618181818181818
"2","dTropical",0,0,0,1,1,0.8
"3","cSubTrop",1,0,2,3,6,0.566666666666667
"4","bWTemp",0,1,0,6,7,0.771428571428571
"5","aCTemp",1,1,4,2,8,0.5
