"","biogeographical_zone","LC","VU","EN","CR","Total"
"1","Total",561,510,896,28,1995
"2","dTropical",0,82,0,0,82
"3","cSubTrop",149,108,819,28,1104
"4","bWTemp",407,36,0,0,443
"5","aCTemp",5,284,77,0,366
