"","full_ecosystem_type_name","biogeographical_zone","B","D","E","C","A","tot_ext24","B18","D18","E18","C18","A18","tot_ext18","B11","C11","D11","E11","A11","tot_ext11","eoo_km2","prp18_cde","prp18_de","prp18_e","pes_decline1118","prp24_cde","prp24_de","prp24_e","pes_decline1824","type_area","nat1990","nat2014","nat2018","nat2022","prpnat1990","prpnat2014","prpnat2018","prpnat2022","ard9022","nat2040","prplost9040","D3_18","B1aii_18","D3_24","B1aii_24","A2b_24","A3_24","RLE24","RLE18"
"12","2 Warm Temperate - Large Temporarily Closed","bWTemp",38206193.6915807,10339074.7925784,4434697.00450157,11515616.4982437,4764085.33522408,69259667.3221285,33737666.6760774,10339074.7925784,4434697.00450157,13568528.8430608,7179700.00591039,69259667.3221285,29115242.1795686,17179241.0131654,9465611.44874763,4434697.00450157,9064875.67614532,69259667.3221285,37350.5737955827,0.409217972536887,0.213309886811422,0.0640300073039001,"decline1118",0.379577166795374,0.213309886811422,0.0640300073039001,"nodecline1824",69300800,56726400,55441200,53750000,53558000,0.818553321173782,0.800008080714797,0.775604322028029,0.772833791240505,99012.5,51775775,0.0872719756585999,"LC","VU","LC","LC","LC","LC","LC","VU"
"13","2 Warm Temperate - Predominantly Open","bWTemp",47766644.7320451,51319086.6435201,0,75924107.9882446,1682643.57543001,176692482.93924,87591405.0680337,37539834.9034548,0,45461696.655781,6099546.31197034,176692482.93924,51126094.957673,99879178.7224017,8930013.98987763,0,16757195.2692875,176692482.93924,52659.2126435925,0.469751345266781,0.212458584988948,0,"decline1118",0.720139264076789,0.290442953711661,0,"decline1824",176690000,137904400,132499600,128214800,127502800,0.78048786009395,0.749898692625502,0.725648310600487,0.721618654140019,325050,121651900,0.117853382488158,"LC","LC","LC","LC","LC","LC","LC","LC"
"14","2 Warm Temperate - Small Fluvially Dominated","bWTemp",310894.201548768,0,0,0,913464.097024482,1224358.29857325,0,0,0,0,1224358.29857325,1224358.29857325,613952.239153285,0,0,0,610406.059419966,1224358.29857325,105.975008696398,0,0,0,"nodecline1118",0,0,0,"nodecline1824",1220400,1220400,1220400,1166800,1159600,1,1,0.956079973779089,0.95018026876434,1900,1125400,0.0778433300557194,"LC","LC","LC","LC","LC","LC","LC","LC"
"15","2 Warm Temperate - Small Temporarily Closed","bWTemp",8697580.44386423,221668.853043823,1258161.00747209,2974404.9623452,2950905.90750477,16102721.1742301,8323200.06174743,143034.097321361,1258161.00747209,1808107.40340916,4570218.60428008,16102721.1742301,8322501.66462283,1176980.51156612,1096466.04368478,1258161.00747209,4248611.94688431,16102721.1742301,40842.6864561514,0.199301874104272,0.0870160446568401,0.0781334405445448,"nodecline1118",0.276613795560804,0.091899365610587,0.0781334405445448,"nodecline1824",16115600,15132800,14914400,14726400,14685600,0.939015612201842,0.925463526024473,0.913797810816848,0.911266102410087,13975,14434050,0.0461745347853669,"LC","LC","LC","LC","LC","LC","LC","LC"
"16","3 Subtropical - Estuarine Bay","cSubTrop",0,0,28152019.8774511,0,0,28152019.8774511,0,0,28152019.8774511,0,0,28152019.8774511,0,0,28152019.8774511,0,0,28152019.8774511,43.8168714654349,1,1,1,"decline1118",1,1,1,"decline1824",28152800,12832800,11692400,9242400,9005600,0.455826773891052,0.415319257764769,0.32829416612202,0.319882924611406,119600,6852800,0.465993391933171,"CR","EN","CR","CR","VU","VU","CR","CR"
"17","3 Subtropical - Estuarine Lake","cSubTrop",0,736344820.013747,82407947.4473259,0,0,818752767.461073,0,799995547.509826,18757219.9512468,0,0,818752767.461073,0,56422665.7075839,762330101.753489,0,0,818752767.461073,3408.78850430388,1,1,0.0229095041833108,"decline1118",1,1,0.100650587970372,"decline1824",818748400,732224400,718928800,712713600,699422800,0.894321625544551,0.878082693047095,0.870491594243116,0.854258524352536,1025050,680971900,0.069995618829419,"EN","EN","EN","EN","LC","LC","EN","EN"
"18","3 Subtropical - Large Fluvially Dominated","cSubTrop",8426760.6920631,94533964.9988858,0,4697562.78887755,0,107658288.479826,13124323.4809407,94533964.9988858,0,0,0,107658288.479826,0,25734389.7736717,81923898.7061548,0,0,107658288.479826,12918.3411726763,0.878092772360951,0.878092772360951,0,"decline1118",0.92172678192221,0.878092772360951,0,"nodecline1824",107666000,72811200,58873600,57629600,57410800,0.676269202905281,0.546817008154849,0.535262757044935,0.533230546319172,481262.5,48748075,0.330486587228339,"VU","EN","EN","LC","VU","LC","EN","EN"
"19","3 Subtropical - Large Temporarily Closed","cSubTrop",21461182.1360002,7138742.98274448,1396645.18110518,20515519.4561184,0,50512089.7559682,15210364.3451713,7641747.52727143,893640.636578232,19953132.4963272,6813204.75062011,50512089.7559682,16453428.6032809,20789078.718496,9401162.12282695,2349771.1455353,1518649.16582908,50512089.7559682,6359.6927652864,0.563994101170815,0.168977134089788,0.0176916187965208,"nodecline1118",0.575127811189708,0.168977134089788,0.0276497208460904,"nodecline1824",50510400,33839200,31142000,29972800,29832000,0.669945199404479,0.61654629541639,0.593398587221642,0.590611042478381,125225,27577950,0.185029492422989,"LC","LC","LC","LC","LC","LC","LC","LC"
"20","3 Subtropical - Predominantly Open","cSubTrop",45393606.3570323,0,11079821.293802,20605713.964773,1420000.40107787,78499142.0166852,56134901.4579044,0,11079821.293802,8774949.09174974,2509470.17322895,78499142.0166852,52267738.133854,7347672.8625583,9491651.63905971,7044329.06061046,2347750.32060266,78499142.0166852,8874.897972741,0.252929775733493,0.141145762987409,0.141145762987409,"nodecline1118",0.40364180352239,0.141145762987409,0.141145762987409,"nodecline1824",78486000,49249200,45873600,44280000,44005600,0.627490253038758,0.584481308768443,0.564177050684198,0.560680885763066,163862.5,41056075,0.166360570323985,"LC","LC","LC","LC","LC","LC","LC","LC"
"21","3 Subtropical - Small Temporarily Closed","cSubTrop",9811836.82377797,308543.073648622,2251581.201632,5332387.0715132,2779555.4939839,20483903.6645557,6376260.20233373,756436.058205227,1803688.2170754,5332387.0715132,6215132.11542814,20483903.6645557,6794270.32800927,5228337.19955993,610883.033838733,1251478.33168876,6598934.771459,20483903.6645557,6668.43667089558,0.385303088514843,0.124982245435499,0.0880539298862456,"decline1118",0.385303088514843,0.124982245435499,0.10991953674963,"nodecline1824",20492800,16405600,16175200,15820000,15782400,0.800554341036852,0.789311367895066,0.771978450968145,0.770143660212367,19475,15431850,0.0593547325303555,"LC","EN","LC","LC","LC","LC","LC","EN"
"22","4 Tropical - Estuarine Lake","dTropical",81662947.7243529,0,0,0,0,81662947.7243529,8293317.37771945,0,0,0,73369630.3466334,81662947.7243529,81662947.7243529,0,0,0,0,81662947.7243529,563.828687610187,0,0,0,"nodecline1118",0,0,0,"nodecline1824",81654800,80441600,79807200,79712400,79682800,0.985142330885631,0.977373038694602,0.976212053669839,0.975849552016538,23712.5,79255975,0.014738953476808,"LC","LC","LC","LC","LC","LC","LC","LC"
