"","biogeographical_zone","LC","VU","EN","CR","Total"
"1","Total",728,6,1202,58,1994
"2","dTropical",82,0,0,0,82
"3","cSubTrop",149,0,926,28,1103
"4","bWTemp",437,6,0,0,443
"5","aCTemp",60,0,276,30,366
