"","biogeographical_zone","LC","VU","EN","CR","Total"
"1","Total",8,5,4,5,22
"2","dTropical",0,1,0,0,1
"3","cSubTrop",3,0,0,3,6
"4","bWTemp",4,3,0,0,7
"5","aCTemp",1,1,4,2,8
